index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
0,c171bf88-631c-4d1e-9f41-61262ba4dfbd,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,20,3,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,20,,-1,-1
1,392cbaf5-816b-4e38-8028-dc6f29b8869f,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,17,3,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,17,,-1,-1
2,978d0795-fc77-4978-b119-d1c986e5c788,SELLER,01Ran@0,_SystemAgent,RandomAgent,1,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,1,,-1,-1
3,18cca908-a9d2-4264-888e-87dae1cc8f79,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,14,3,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,-1,04Ind@2:product(1.0),-1,-1
4,a1df37fb-e3e2-44b5-87b4-5b8cddb23211,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,7,2,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,7,,-1,-1
5,317a00ac-d60d-4025-bb6e-b8bef4839abc,SELLER,01Ran@0,_SystemAgent,RandomAgent,6,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,6,,-1,-1
6,7fe2b48b-4e12-48f3-9bcf-b13651ef7552,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,12,5,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,12,,-1,-1
7,c76382eb-517b-4281-9612-a0798b1779a3,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,14,1,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,-1,04Ind@2:product(1.0),-1,-1
8,6fc46a63-3c87-4e83-b026-704982d2d198,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,1,1,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,1,,-1,-1
9,62a38a70-3cba-4ab6-8ab3-8adb08d657ae,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,20,3,34,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
10,27756151-576f-42e9-8691-9097528ad99f,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,7,1,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,7,,-1,-1
11,89c7d017-4c96-46b8-849f-b3080b894cfe,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,20,3,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,20,,-1,-1
12,442d5214-8081-4dd0-8b9f-ad63e54626f8,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,9,2,34,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,9,,-1,-1
13,1e5916c1-caae-4309-ab78-39daed65ae4d,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,12,3,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,12,,-1,-1
14,07d1f7a5-99ed-4e4b-b0ce-44e28ccef5d6,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,11,3,34,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,-1,05Dec@2:product(1.0),-1,-1
15,cf167c24-29b6-4233-90dc-1bfb9e04d444,SELLER,01Ran@0,_SystemAgent,RandomAgent,3,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,3,,-1,-1
16,d6f99aa5-4507-4618-90fe-65f81651bded,SELLER,01Ran@0,_SystemAgent,RandomAgent,0,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,0,,-1,-1
17,7379b820-a545-494b-be07-a32093df3d96,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,7,2,34,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,-1,05Dec@2:product(1.0),-1,-1
18,2d36d51a-f2fa-4178-967f-e8b93391441b,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,17,2,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,17,,-1,-1
19,67406ac0-af29-4e4f-9e1f-e64deaa61261,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,18,1,34,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,18,,-1,-1
20,81883544-954c-47ff-81c9-8ca99eaa9ce5,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,6,5,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,-1,04Ind@2:product(0.4),-1,-1
21,468af565-04a3-44be-93e2-f7bd38b43c60,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,4,1,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,-1,04Ind@2:product(1.0),-1,-1
22,d7509a95-322f-4a0d-b49b-fa430e04e403,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,1,2,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,1,,-1,-1
23,8e2fae3e-0fc8-42e2-af14-de3961d3950d,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,17,1,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,17,,-1,-1
24,b259bacf-e4bc-4ec8-9b34-dfd39aae5146,SELLER,01Ran@0,_SystemAgent,RandomAgent,13,1,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,13,,-1,-1
25,3e41109b-676b-4229-a3d9-f68ca4953465,SELLER,01Ran@0,_SystemAgent,RandomAgent,6,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,6,,-1,-1
26,d32babf2-8af4-4018-9119-4a783883febd,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,17,5,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,17,,-1,-1
27,309ba14a-9077-4d98-801a-d29e65746cf3,SELLER,01Ran@0,_SystemAgent,RandomAgent,19,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,19,,-1,-1
28,56f08879-a401-40a2-ad78-5aa783717ffb,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,7,2,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,7,,-1,-1
29,15a73806-e84d-49de-9017-6591f2b6fa70,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,19,2,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,19,,-1,-1
30,3fcf555b-439a-4c32-af95-a81400b2f150,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,5,3,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,5,,-1,-1
31,7a91d271-d997-4dd6-a84e-d2a952a1d440,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,10,1,34,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,10,,-1,-1
32,823c218d-11e3-4f01-be1f-689c52fc2106,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,15,3,34,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
33,91592456-f1ff-42e6-b8a2-b4c3a1c55168,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,12,1,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,12,,-1,-1
34,c27fa0c0-2f79-4eb1-a552-120a4d022a18,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,15,3,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,-1,04Ind@2:product(1.0),-1,-1
35,969c4c89-41f8-447f-80ce-7cd7e9cd46ca,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,9,3,34,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,9,,-1,-1
36,b82b19e4-e8db-46dd-a7b4-1b6ec6bb96a9,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,12,1,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,12,,-1,-1
37,13601af1-72a4-48f3-86e4-bee2ec1032f8,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,4,1,34,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,-1,05Dec@2:product(1.0),-1,-1
38,0a8a4285-6234-48b3-9a4d-ab18ef9b9f45,SELLER,01Ran@0,_SystemAgent,RandomAgent,16,4,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,16,,-1,-1
39,265bf1e7-d32c-407c-b0a9-f950875698f3,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,9,3,34,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,9,,-1,-1
40,d8c9093f-008c-4891-9d8e-5d1675ae024c,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,9,2,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,9,,-1,-1
41,d50d6ff2-f648-4a61-8b68-b429d27b92c7,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,6,1,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,-1,04Ind@2:product(1.0),-1,-1
42,307fc2b7-16ca-4a94-bfa3-b64e11807a1b,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,17,2,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,17,,-1,-1
43,15d4561c-0ade-4a14-a80d-61425a89fb43,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,3,1,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,-1,04Ind@2:product(1.0),-1,-1
44,65ccb69f-e553-46b3-ac9f-50b677dc9535,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,3,2,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,-1,04Ind@2:product(1.0),-1,-1
45,235756fd-fe81-4212-bace-1dcc3d20081b,SELLER,01Ran@0,_SystemAgent,RandomAgent,20,1,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,20,,-1,-1
46,7453ab16-110e-48f0-8a9b-0c9622a3427a,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,7,1,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,7,,-1,-1
47,327fbda5-cefa-4799-901a-baee5c5be440,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,17,1,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,17,,-1,-1
48,d514eaf3-ca51-48d2-85c4-0fdbc456c6fd,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,6,3,34,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
49,16c1f7c9-6ac5-4682-9bde-37de580d32cd,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,13,5,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,-1,04Ind@2:product(1.0),-1,-1
50,9e315182-acac-4692-a916-809819d76f0b,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,9,1,34,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,9,,-1,-1
51,94019de2-0d4b-4856-915c-a93cfeb6ade2,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,4,3,34,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,-1,05Dec@2:product(1.0),-1,-1
52,654b70fc-e3aa-4b69-8cce-28c4f05eef68,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,0,1,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,0,,-1,-1
53,0a62063f-3c1f-4133-a909-b46e46016c62,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,5,1,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,5,,-1,-1
54,329b618a-d1ef-4286-aeb9-11e3b2af1180,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,12,2,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,12,,-1,-1
55,ec2074a1-d3fa-40c5-96fd-95e160003f0c,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,18,2,34,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,18,,-1,-1
56,4a4312f4-5733-4f48-921a-209c618755c3,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,3,2,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,3,,-1,-1
57,1144abf6-3af5-47e6-9a74-54ac2a4885b0,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,14,3,34,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,-1,05Dec@2:product(1.0),-1,-1
58,64d69a0e-0485-486e-8f1d-ea4afbe055d0,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,13,1,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,13,,-1,-1
59,27cbd43a-c277-4e94-a30d-c26ddb05386f,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,10,1,34,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,10,,-1,-1
60,dd76d7ea-4075-4121-989d-1b84539b5b14,SELLER,01Ran@0,_SystemAgent,RandomAgent,14,1,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,14,,-1,-1
61,b975008a-48a4-46e4-a42c-2de00e159ddf,SELLER,01Ran@0,_SystemAgent,RandomAgent,11,3,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,11,,-1,-1
62,164eb0d2-afd5-4776-bcd7-c54099d67a9f,SELLER,01Ran@0,_SystemAgent,RandomAgent,18,1,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,18,,-1,-1
63,1b2bb446-5f59-4572-91a2-608d6bf772ed,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,15,1,34,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
64,d66cec89-124c-4503-b753-0dab531f804a,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,3,4,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,-1,04Ind@2:product(1.0),-1,-1
65,54811f85-ec38-4ddd-885f-8e1f9aee6530,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,13,1,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,-1,04Ind@2:product(1.0),-1,-1
66,eb9e488d-4cd8-4eb8-9fa7-a6ff3f26d8f8,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,8,3,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,8,,-1,-1
67,7b1634bb-a9e4-4ecd-9e49-99dea7da9a06,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,6,2,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,-1,04Ind@2:product(1.0),-1,-1
68,1e5e0ee1-ae3a-4e11-a2f7-ae62f715718a,SELLER,01Ran@0,_SystemAgent,RandomAgent,18,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,18,,-1,-1
69,fe642fea-0ec5-4ac4-91a8-9f9a351dba27,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,4,1,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,-1,04Ind@2:product(1.0),-1,-1
70,b3a35151-2931-470a-8952-437f95308a55,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,16,3,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,16,,-1,-1
71,a45f5a70-6ccb-41c6-bde7-196880249897,SELLER,01Ran@0,_SystemAgent,RandomAgent,9,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,9,,-1,-1
72,654ecc17-4a22-4af8-a805-941e6836b508,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,3,1,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,-1,04Ind@2:product(1.0),-1,-1
73,448efd63-2fde-49f2-bc28-365c03ca4498,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,18,5,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,18,,-1,-1
74,324f26b8-df7c-4041-8889-09c0046a974f,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,16,2,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,16,,-1,-1
75,b8396bdd-5202-48f3-8535-d41a3a9cd987,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,17,1,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,17,,-1,-1
76,380adba2-9b08-459c-adf6-f1d5e4c44cc2,SELLER,01Ran@0,_SystemAgent,RandomAgent,14,1,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,14,,-1,-1
77,1ceffc4e-8bed-4f3b-ab12-06740df60e36,SELLER,01Ran@0,_SystemAgent,RandomAgent,17,1,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,17,,-1,-1
78,183ac78b-c17b-4622-995f-413fa7df527c,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,6,1,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,-1,04Ind@2:product(1.0),-1,-1
79,9298e7e5-31c9-43bb-af8c-0dec1048a5ea,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,12,1,34,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
80,d2bb6ace-c73a-461f-bf04-b21adc276765,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,20,1,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,20,,-1,-1
81,4a810a9a-7c05-4616-a67f-37f43e3045c9,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,20,1,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,20,,-1,-1
82,a4a40207-613f-43d1-9e21-2585ce0f459e,SELLER,01Ran@0,_SystemAgent,RandomAgent,1,1,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,1,,-1,-1
83,91687688-2c6b-4c58-82f8-04e6f66b90ce,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,19,1,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,19,,-1,-1
84,f9e83f10-bae9-4bf4-9b9d-c002c787db7d,SELLER,01Ran@0,_SystemAgent,RandomAgent,10,4,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,10,,-1,-1
85,72af7708-ef9c-4611-a8fe-d7ae5920a92f,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,20,1,34,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,-1,05Dec@2:product(1.0),-1,-1
86,81240cde-9888-4514-8b37-30da555d3666,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,16,1,34,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,-1,05Dec@2:product(1.0),-1,-1
87,d6635cc9-a254-42c9-b8e1-faffc0bcb79f,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,12,1,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,12,,-1,-1
88,d6131421-9cd1-4583-a2dc-662cd9e9c2ff,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,13,1,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,13,,-1,-1
89,8ddd37dd-618f-4d3d-9b89-528d16bd6f24,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,3,2,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,-1,04Ind@2:product(1.0),-1,-1
90,c45b8dda-651f-4ab5-b302-88340caa550a,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,14,2,34,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
91,d2fe0b36-5e69-404a-a83c-2eb9bd2a40fa,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,9,1,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,9,,-1,-1
92,72418549-9a90-4a9b-86a9-cfadee40bae3,SELLER,01Ran@0,_SystemAgent,RandomAgent,16,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,16,,-1,-1
93,f17afe36-1dd0-4e6b-b091-dbffccfca4b1,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,7,1,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,7,,-1,-1
94,383ca51a-26ed-4268-a008-622ed24544a1,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,11,1,34,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
95,433faed4-0164-4e60-b9db-f2eb16bc3b66,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,15,2,34,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,-1,05Dec@2:product(1.0),-1,-1
96,aafbd10a-5c95-4d67-b25f-2af6895e56e0,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,2,1,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,2,,-1,-1
97,285aa792-79e8-498e-b1eb-7a7ece3b80fc,SELLER,01Ran@0,_SystemAgent,RandomAgent,15,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,15,,-1,-1
98,2bccbe77-c348-4a8a-b28a-0c478e9a1e53,SELLER,01Ran@0,_SystemAgent,RandomAgent,4,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,4,,-1,-1
99,5f1d1218-3424-4c9a-85dc-91520e4528d0,SELLER,01Ran@0,_SystemAgent,RandomAgent,5,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,5,,-1,-1
100,44ffed38-e5cd-4f3a-b783-f03890e4edfa,SELLER,01Ran@0,_SystemAgent,RandomAgent,11,1,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,11,,-1,-1
101,1fa5f23c-e0ae-4660-b4cf-ab0a564293cd,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,12,2,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,12,,-1,-1
102,13505a16-a0fe-4b57-94aa-73c164fd9466,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,5,1,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,5,,-1,-1
103,66f56fe9-250c-42dc-82d3-006fbed0a145,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,18,1,34,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,18,,-1,-1
104,b69aff6e-cda3-4b32-8e9e-53b9f5c97513,SELLER,01Ran@0,_SystemAgent,RandomAgent,18,3,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,18,,-1,-1
105,c580fbb1-8758-4fb6-aa00-e108e8d52e44,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,4,3,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,4,,-1,-1
106,686893ee-edf3-4cf7-88b7-7ed6871cd518,SELLER,01Ran@0,_SystemAgent,RandomAgent,14,1,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,14,,-1,-1
107,009704c9-cacf-4614-94c0-fc32d3933869,SELLER,01Ran@0,_SystemAgent,RandomAgent,0,1,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,0,,-1,-1
108,24d24276-100a-4597-8e87-3acfe9e6e9ec,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,18,1,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,18,,-1,-1
